Heartbeat 2 every 10 seconds,Average heart rate 2(/min)
51.42857142857142,56.011426645823796
48.64864864864865,56.011426645823796
52.94117647058823,56.011426645823796
52.94117647058823,56.011426645823796
53.73134328358209,56.011426645823796
54.54545454545455,56.011426645823796
55.38461538461539,56.011426645823796
53.99999999999999,56.011426645823796
53.99999999999999,56.011426645823796
55.10204081632653,56.011426645823796
55.10204081632653,56.011426645823796
56.69291338582677,56.011426645823796
55.38461538461539,56.011426645823796
54.9618320610687,56.011426645823796
55.38461538461539,56.011426645823796
55.81395348837209,56.011426645823796
55.81395348837209,56.011426645823796
55.90062111801242,56.011426645823796
54.87804878048781,56.011426645823796
55.214723926380366,56.011426645823796
55.90062111801242,56.011426645823796
55.55555555555556,56.011426645823796
56.84210526315789,56.011426645823796
57.14285714285714,56.011426645823796
57.4468085106383,56.011426645823796
57.14285714285714,56.011426645823796
56.544502617801044,56.011426645823796
57.14285714285714,56.011426645823796
57.01357466063348,56.011426645823796
56.502242152466366,56.011426645823796
56.502242152466366,56.011426645823796
56.502242152466366,56.011426645823796
56.25,56.011426645823796
56.69291338582677,56.011426645823796
56.91699604743083,56.011426645823796
56.91699604743083,56.011426645823796
56.69291338582677,56.011426645823796
56.91699604743083,56.011426645823796
57.04225352112676,56.011426645823796
57.04225352112676,56.011426645823796
57.04225352112676,56.011426645823796
57.24381625441696,56.011426645823796
56.64335664335665,56.011426645823796
57.04225352112676,56.011426645823796
56.962025316455694,56.011426645823796
56.962025316455694,56.011426645823796
56.60377358490566,56.011426645823796
56.60377358490566,56.011426645823796
56.782334384858046,56.011426645823796
56.57142857142858,56.011426645823796
56.73352435530086,56.011426645823796
56.73352435530086,56.011426645823796
56.57142857142858,56.011426645823796
56.41025641025641,56.011426645823796
56.25,56.011426645823796
56.544502617801044,56.011426645823796
56.396866840731064,56.011426645823796
56.25,56.011426645823796
56.25,56.011426645823796
56.396866840731064,56.011426645823796
56.25,56.011426645823796
56.385542168674704,56.011426645823796
56.52173913043478,56.011426645823796
56.25,56.011426645823796
56.25,56.011426645823796
56.385542168674704,56.011426645823796
56.3758389261745,56.011426645823796
56.25,56.011426645823796
56.3758389261745,56.011426645823796
56.25,56.011426645823796
56.3758389261745,56.011426645823796
56.13305613305613,56.011426645823796
56.36743215031316,56.011426645823796
56.36743215031316,56.011426645823796
56.25,56.011426645823796
56.13305613305613,56.011426645823796
56.36743215031316,56.011426645823796
56.25,56.011426645823796
56.14035087719298,56.011426645823796
56.14035087719298,56.011426645823796
56.25,56.011426645823796
56.14035087719298,56.011426645823796
55.94149908592321,56.011426645823796
56.043956043956044,56.011426645823796
55.94149908592321,56.011426645823796
56.043956043956044,56.011426645823796
56.043956043956044,56.011426645823796
56.043956043956044,56.011426645823796
56.0553633217993,56.011426645823796
56.0553633217993,56.011426645823796
56.0553633217993,56.011426645823796
56.0553633217993,56.011426645823796
56.0553633217993,56.011426645823796
55.97381342062194,56.011426645823796
55.97381342062194,56.011426645823796
55.97381342062194,56.011426645823796
55.97381342062194,56.011426645823796
55.88235294117647,56.011426645823796
55.90062111801242,56.011426645823796
55.90062111801242,56.011426645823796
55.98755832037325,56.011426645823796
55.90062111801242,56.011426645823796
55.98755832037325,56.011426645823796
55.98755832037325,56.011426645823796
55.99999999999999,56.011426645823796
55.99999999999999,56.011426645823796
55.99999999999999,56.011426645823796
55.99999999999999,56.011426645823796
55.99999999999999,56.011426645823796
55.85331452750353,56.011426645823796
55.85331452750353,56.011426645823796
